# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-15T00:00:00.0
# Date end (ISO 8601): 2022-07-16T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-15T00:00:00.0/2022-06-15T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-15T01:00:00.0/2022-06-15T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-15T02:00:00.0/2022-06-15T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-15T03:00:00.0/2022-06-15T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-15T04:00:00.0/2022-06-15T05:00:00.0;29.4065;9.0298;1.9521;7.0777;31.0264;6.8730;0.0896;6.7834;1.0697;1.0000
2022-06-15T05:00:00.0/2022-06-15T06:00:00.0;231.1550;113.8169;57.9541;55.8628;305.6794;103.2640;50.0250;53.2390;253.8114;1.0000
2022-06-15T06:00:00.0/2022-06-15T07:00:00.0;466.0326;289.6695;192.3127;97.3568;537.3893;274.5366;189.2362;85.3004;527.7964;1.0000
2022-06-15T07:00:00.0/2022-06-15T08:00:00.0;692.9013;478.4205;353.2226;125.1980;670.0692;463.8006;355.7099;108.0907;674.5771;1.0000
2022-06-15T08:00:00.0/2022-06-15T09:00:00.0;896.3019;653.8334;509.8218;144.0116;749.5359;642.2344;517.3125;124.9219;760.4451;1.0000
2022-06-15T09:00:00.0/2022-06-15T10:00:00.0;1062.3745;799.1892;642.4872;156.7020;797.6446;792.5406;656.8913;135.6493;815.4730;1.0000
2022-06-15T10:00:00.0/2022-06-15T11:00:00.0;1179.8037;902.2847;734.5685;167.7162;821.5199;898.8389;755.6125;143.2264;845.0276;1.0000
2022-06-15T11:00:00.0/2022-06-15T12:00:00.0;1240.5894;955.2886;778.8731;176.4155;828.4745;953.1248;804.3908;148.7340;855.6116;1.0000
2022-06-15T12:00:00.0/2022-06-15T13:00:00.0;1240.5922;954.1769;772.8922;181.2847;822.0796;952.1931;800.2613;151.9317;851.1944;1.0000
2022-06-15T13:00:00.0/2022-06-15T14:00:00.0;1179.8160;900.4267;724.5317;175.8950;810.2621;897.1151;748.1940;148.9212;836.6950;1.0000
2022-06-15T14:00:00.0/2022-06-15T15:00:00.0;1062.4072;797.6170;634.2855;163.3315;787.4532;790.8926;650.3566;140.5360;807.3240;1.0000
